,state,year,sex,age_group,percent_on_BP_meds_among_high_BP_group,percent_on_chol_meds_among_high_chol_group,percent_high_BP,percent_high_chol,sbp_average,ldl_average,sbp_rr,ldl_rr,both_rr
374,Kentucky,2021,female,60-64,0.900884664864722,0.698051187563054,0.506425156351406,0.513741731166567,0.8784105811103281,0.6426350163901295,1.0255849419823544,1.086232728935646,1.0559088354590003
375,Louisiana,2021,female,60-64,0.899831717846902,0.717772204311158,0.553024065870643,0.504560756437192,0.8784105811103281,0.6426350163901295,1.0243862462465982,1.1169204696362427,1.0706533579414206
376,Maine,2021,female,60-64,0.845009309705485,0.635409645257657,0.402465820371977,0.427063474021006,0.8784105811103281,0.6426350163901295,0.9619753312139943,0.9887566488781461,0.9753659900460702
377,Maryland,2021,female,60-64,0.886303058243679,0.621278455888595,0.499896964543651,0.518592935342679,0.8784105811103281,0.6426350163901295,1.0089849522570353,0.9667672007331616,0.9878760764950985
378,Massachusetts,2021,female,60-64,0.858454058025611,0.598921187960476,0.398722361886649,0.446956922794983,0.8784105811103281,0.6426350163901295,0.9772810989372513,0.9319772074120595,0.9546291531746554
379,Michigan,2021,female,60-64,0.905084034271072,0.689243523459425,0.469281441042286,0.468831871565441,0.8784105811103281,0.6426350163901295,1.0303655872713056,1.0725271824294746,1.05144638485039
380,Minnesota,2021,female,60-64,0.86232172072766,0.573864889030819,0.401407979274813,0.403851305732066,0.8784105811103281,0.6426350163901295,0.9816841227455031,0.8929872702150395,0.9373356964802713
381,Mississippi,2021,female,60-64,0.911386523603639,0.772739287023489,0.666613805017311,0.519999520400383,0.8784105811103281,0.6426350163901295,1.0375404659306684,1.202454375057546,1.1199974204941072
382,Missouri,2021,female,60-64,0.888713093325341,0.60507984342934,0.471317367326388,0.439258310274736,0.8784105811103281,0.6426350163901295,1.0117285839180015,0.9415606495087241,0.9766446167133628
383,Montana,2021,female,60-64,0.856554393496799,0.567555774906637,0.387130075339803,0.352111526850723,0.8784105811103281,0.6426350163901295,0.9751184832201105,0.883169700423057,0.9291440918215838
384,Nebraska,2021,female,60-64,0.906011888157282,0.66131214975218,0.442742217682371,0.471863671262095,0.8784105811103281,0.6426350163901295,1.0314218745089172,1.0290633608279944,1.0302426176684558
385,Nevada,2021,female,60-64,0.822639320357262,0.703158777209544,0.382903220754636,0.428060020239797,0.8784105811103281,0.6426350163901295,0.9365088923649233,1.094180614619157,1.0153447534920401
386,New Hampshire,2021,female,60-64,0.854669477976962,0.576865902262637,0.32832870810104,0.41524051045357,0.8784105811103281,0.6426350163901295,0.9729726580668497,0.8976571265958443,0.935314892331347
387,New Jersey,2021,female,60-64,0.862530587845305,0.659360625478594,0.413525258629665,0.461874980744606,0.8784105811103281,0.6426350163901295,0.9819219012082591,1.0260266071127233,1.0039742541604912
388,New Mexico,2021,female,60-64,0.84929207038693,0.572472865595596,0.472530345341687,0.493453805077687,0.8784105811103281,0.6426350163901295,0.9668509107818445,0.8908211519679474,0.928836031374896
389,New York,2021,female,60-64,0.900492926276799,0.66891304528625,0.442890070641433,0.492709190515198,0.8784105811103281,0.6426350163901295,1.0251389790165761,1.040891062929829,1.0330150209732025
390,North Carolina,2021,female,60-64,0.886596214136998,0.697032843463147,0.548559743312526,0.482728034279332,0.8784105811103281,0.6426350163901295,1.009318686731122,1.0846480905733804,1.0469833886522513
391,North Dakota,2021,female,60-64,0.92857321113807,0.662091089085948,0.416123405598911,0.458410833325753,0.8784105811103281,0.6426350163901295,1.0571061313541275,1.0302754630538327,1.04369079720398
392,Ohio,2021,female,60-64,0.90129501430618,0.706442924973186,0.48878035508834,0.455862960146305,0.8784105811103281,0.6426350163901295,1.0260520919123328,1.0992910547288324,1.0626715733205825
393,Oklahoma,2021,female,60-64,0.885408761683035,0.686875756989509,0.499409294832579,0.491606996958839,0.8784105811103281,0.6426350163901295,1.0079668673433566,1.0688427170493957,1.0384047921963762
394,Oregon,2021,female,60-64,0.780691023129869,0.525290902902017,0.381450292147446,0.435275870782498,0.8784105811103281,0.6426350163901295,0.8887541201325926,0.8174016191223611,0.8530778696274768
395,Pennsylvania,2021,female,60-64,0.855762953062947,0.602596476160268,0.474866072428237,0.482876659994538,0.8784105811103281,0.6426350163901295,0.9742174917579499,0.9376962985074019,0.9559568951326759
396,Rhode Island,2021,female,60-64,0.890625066751995,0.675789071664198,0.452660162052628,0.471116844263321,0.8784105811103281,0.6426350163901295,1.0139052123281889,1.0515908010433428,1.032748006685766
397,South Carolina,2021,female,60-64,0.945746568500316,0.722753500491242,0.547963579884857,0.549892404592576,0.8784105811103281,0.6426350163901295,1.0766566214456046,1.1246718309113648,1.1006642261784847
398,South Dakota,2021,female,60-64,0.923384726061605,0.631583188917773,0.438703359240205,0.489812608925876,0.8784105811103281,0.6426350163901295,1.0511994571996488,0.9828023260630304,1.0170008916313396
399,Tennessee,2021,female,60-64,0.91830035116769,0.770360456144098,0.524053320603623,0.504961492460108,0.8784105811103281,0.6426350163901295,1.045411304138596,1.1987526924247607,1.1220819982816783
400,Texas,2021,female,60-64,0.888323197236789,0.663998134228416,0.509941260416079,0.499584905082164,0.8784105811103281,0.6426350163901295,1.0112847184899927,1.0332430030941815,1.022263860792087
401,Utah,2021,female,60-64,0.818205912188187,0.564515735780498,0.403557962342388,0.479377890546826,0.8784105811103281,0.6426350163901295,0.931461812714003,0.8784391161122053,0.9049504644131041
402,Vermont,2021,female,60-64,0.879317297600094,0.564693580289585,0.359045848619778,0.373337802798068,0.8784105811103281,0.6426350163901295,1.001032224006933,0.8787158587492407,0.9398740413780868
403,Virginia,2021,female,60-64,0.86320160271925,0.684101777959183,0.504240829686926,0.486633926733393,0.8784105811103281,0.6426350163901295,0.9826857978283302,1.0645261470530887,1.0236059724407094
